Tau,Delta,Conditional Power,Recovery Probability,Successful Trials
0.0,0,0.9949939927913496,0.9988,False
0.0,2,0.9989993996397839,0.9994,False
0.0,4,1.0,0.9998,False
0.0,6,1.0,1.0,True
0.0,8,1.0,1.0,True
0.0,10,1.0,1.0,True
0.01,0,0.11782356471294259,0.9998,False
0.01,2,0.09327461969575661,0.9992,False
0.01,4,0.252250450090018,0.9998,False
0.01,6,0.9476,1.0,True
0.01,8,1.0,1.0,True
0.01,10,1.0,1.0,True
0.05,0,0.06633266533066132,0.998,False
0.05,2,0.0712136409227683,0.997,False
0.05,4,0.37024429315178214,0.9988,False
0.05,6,0.9628,1.0,True
0.05,8,0.9998,1.0,True
0.05,10,1.0,1.0,True
0.1,0,0.06251252254057303,0.9982,False
0.1,2,0.06432865731462926,0.998,False
0.1,4,0.4076676033721397,0.9964,False
0.1,6,0.9353932584269663,0.9968,False
0.1,8,0.9931972789115646,0.9996,False
0.1,10,0.9975975975975976,0.999,False
0.5,0,0.0460552663195835,0.9988,False
0.5,2,0.04745694833800561,0.9988,False
0.5,4,0.0725305549989982,0.9982,False
0.5,6,0.13597107852982526,0.9958,False
0.5,8,0.2109171182018864,0.9966,False
0.5,10,0.27537103890894504,0.9972,False
1.0,0,0.04832564668137156,0.9974,False
1.0,2,0.043251902282739285,0.9988,False
1.0,4,0.04170008019246191,0.9976,False
1.0,6,0.0627254509018036,0.998,False
1.0,8,0.07215874924834637,0.9978,False
1.0,10,0.07985553772070626,0.9968,False
