Tau,Delta,Conditional Power,Recovery Probability,Successful Trials
0.0,5,1.0,0.8424,False
0.0,6,1.0,0.9642,False
0.0,7,1.0,0.9982,False
0.0,8,1.0,1.0,True
0.0,9,1.0,1.0,True
0.0,10,1.0,1.0,True
0.01,5,0.9558404558404558,0.8424,False
0.01,6,0.9989675820772249,0.9686,False
0.01,7,1.0,0.9958,False
0.01,8,1.0,1.0,True
0.01,9,1.0,1.0,True
0.01,10,1.0,1.0,True
0.05,5,0.9632371083148286,0.8106,False
0.05,6,0.9983189745744905,0.9518,False
0.05,7,1.0,0.992,False
0.05,8,1.0,0.9986,False
0.05,9,1.0,0.9996,False
0.05,10,1.0,1.0,True
0.1,5,0.9521660649819494,0.6648,False
0.1,6,0.992362878963203,0.8642,False
0.1,7,0.9970612930310663,0.9528,False
0.1,8,0.9985795454545454,0.9856,False
0.1,9,0.9987900786448881,0.9918,False
0.1,10,0.9991946849204751,0.9934,False
0.5,5,0.6621621621621622,0.0148,False
0.5,6,0.8404255319148937,0.0188,False
0.5,7,0.8260869565217391,0.023,False
0.5,8,0.8629032258064516,0.0248,False
0.5,9,0.9207317073170732,0.0328,False
0.5,10,0.8936170212765957,0.0376,False
1.0,5,0.49295774647887325,0.0142,False
1.0,6,0.5098039215686274,0.0102,False
1.0,7,0.5769230769230769,0.0104,False
1.0,8,0.6296296296296297,0.0108,False
1.0,9,0.7192982456140351,0.0114,False
1.0,10,0.6721311475409836,0.0122,False
