,Tau,Method,Recovery
0,0.0,Naive,1
1,0.025,Randomized,1
2,0.05,Randomized,1
3,0.1,Randomized,1
4,0.25,Randomized,0
5,0.5,Randomized,0
6,1.0,Randomized,0
7,5.0,Randomized,0
8,0.0,Naive,1
9,0.025,Randomized,1
10,0.05,Randomized,1
11,0.1,Randomized,1
12,0.25,Randomized,1
13,0.5,Randomized,0
14,1.0,Randomized,0
15,5.0,Randomized,0
16,0.0,Naive,1
17,0.025,Randomized,1
18,0.05,Randomized,1
19,0.1,Randomized,1
20,0.25,Randomized,0
21,0.5,Randomized,0
22,1.0,Randomized,0
23,5.0,Randomized,0
24,0.0,Naive,1
25,0.025,Randomized,1
26,0.05,Randomized,1
27,0.1,Randomized,1
28,0.25,Randomized,0
29,0.5,Randomized,0
30,1.0,Randomized,0
31,5.0,Randomized,0
32,0.0,Naive,1
33,0.025,Randomized,1
34,0.05,Randomized,1
35,0.1,Randomized,1
36,0.25,Randomized,0
37,0.5,Randomized,0
38,1.0,Randomized,0
39,5.0,Randomized,0
40,0.0,Naive,1
41,0.025,Randomized,1
42,0.05,Randomized,1
43,0.1,Randomized,1
44,0.25,Randomized,1
45,0.5,Randomized,0
46,1.0,Randomized,0
47,5.0,Randomized,0
48,0.0,Naive,1
49,0.025,Randomized,1
50,0.05,Randomized,1
51,0.1,Randomized,1
52,0.25,Randomized,0
53,0.5,Randomized,0
54,1.0,Randomized,0
55,5.0,Randomized,0
56,0.0,Naive,1
57,0.025,Randomized,1
58,0.05,Randomized,1
59,0.1,Randomized,1
60,0.25,Randomized,1
61,0.5,Randomized,0
62,1.0,Randomized,0
63,5.0,Randomized,0
64,0.0,Naive,1
65,0.025,Randomized,1
66,0.05,Randomized,1
67,0.1,Randomized,1
68,0.25,Randomized,1
69,0.5,Randomized,1
70,1.0,Randomized,0
71,5.0,Randomized,0
72,0.0,Naive,1
73,0.025,Randomized,1
74,0.05,Randomized,1
75,0.1,Randomized,1
76,0.25,Randomized,1
77,0.5,Randomized,0
78,1.0,Randomized,0
79,5.0,Randomized,0
80,0.0,Naive,1
81,0.025,Randomized,1
82,0.05,Randomized,1
83,0.1,Randomized,0
84,0.25,Randomized,0
85,0.5,Randomized,0
86,1.0,Randomized,0
87,5.0,Randomized,0
88,0.0,Naive,1
89,0.025,Randomized,1
90,0.05,Randomized,1
91,0.1,Randomized,1
92,0.25,Randomized,0
93,0.5,Randomized,0
94,1.0,Randomized,0
95,5.0,Randomized,0
96,0.0,Naive,1
97,0.025,Randomized,0
98,0.05,Randomized,0
99,0.1,Randomized,0
100,0.25,Randomized,0
101,0.5,Randomized,0
102,1.0,Randomized,0
103,5.0,Randomized,0
104,0.0,Naive,1
105,0.025,Randomized,1
106,0.05,Randomized,1
107,0.1,Randomized,1
108,0.25,Randomized,1
109,0.5,Randomized,0
110,1.0,Randomized,0
111,5.0,Randomized,0
112,0.0,Naive,1
113,0.025,Randomized,1
114,0.05,Randomized,1
115,0.1,Randomized,1
116,0.25,Randomized,1
117,0.5,Randomized,0
118,1.0,Randomized,0
119,5.0,Randomized,0
120,0.0,Naive,1
121,0.025,Randomized,1
122,0.05,Randomized,1
123,0.1,Randomized,1
124,0.25,Randomized,0
125,0.5,Randomized,0
126,1.0,Randomized,0
127,5.0,Randomized,0
128,0.0,Naive,1
129,0.025,Randomized,1
130,0.05,Randomized,1
131,0.1,Randomized,1
132,0.25,Randomized,1
133,0.5,Randomized,1
134,1.0,Randomized,0
135,5.0,Randomized,0
136,0.0,Naive,1
137,0.025,Randomized,1
138,0.05,Randomized,1
139,0.1,Randomized,0
140,0.25,Randomized,0
141,0.5,Randomized,0
142,1.0,Randomized,0
143,5.0,Randomized,0
144,0.0,Naive,1
145,0.025,Randomized,1
146,0.05,Randomized,1
147,0.1,Randomized,1
148,0.25,Randomized,1
149,0.5,Randomized,0
150,1.0,Randomized,0
151,5.0,Randomized,0
152,0.0,Naive,1
153,0.025,Randomized,1
154,0.05,Randomized,1
155,0.1,Randomized,1
156,0.25,Randomized,1
157,0.5,Randomized,0
158,1.0,Randomized,0
159,5.0,Randomized,0
160,0.0,Naive,0
161,0.025,Randomized,0
162,0.05,Randomized,0
163,0.1,Randomized,0
164,0.25,Randomized,0
165,0.5,Randomized,0
166,1.0,Randomized,0
167,5.0,Randomized,0
168,0.0,Naive,1
169,0.025,Randomized,1
170,0.05,Randomized,1
171,0.1,Randomized,1
172,0.25,Randomized,1
173,0.5,Randomized,0
174,1.0,Randomized,0
175,5.0,Randomized,0
176,0.0,Naive,1
177,0.025,Randomized,1
178,0.05,Randomized,1
179,0.1,Randomized,1
180,0.25,Randomized,1
181,0.5,Randomized,0
182,1.0,Randomized,0
183,5.0,Randomized,0
184,0.0,Naive,1
185,0.025,Randomized,1
186,0.05,Randomized,1
187,0.1,Randomized,1
188,0.25,Randomized,0
189,0.5,Randomized,0
190,1.0,Randomized,0
191,5.0,Randomized,0
192,0.0,Naive,1
193,0.025,Randomized,1
194,0.05,Randomized,1
195,0.1,Randomized,1
196,0.25,Randomized,1
197,0.5,Randomized,0
198,1.0,Randomized,0
199,5.0,Randomized,0
200,0.0,Naive,1
201,0.025,Randomized,1
202,0.05,Randomized,1
203,0.1,Randomized,1
204,0.25,Randomized,0
205,0.5,Randomized,0
206,1.0,Randomized,0
207,5.0,Randomized,0
208,0.0,Naive,1
209,0.025,Randomized,1
210,0.05,Randomized,1
211,0.1,Randomized,1
212,0.25,Randomized,1
213,0.5,Randomized,0
214,1.0,Randomized,0
215,5.0,Randomized,0
216,0.0,Naive,1
217,0.025,Randomized,1
218,0.05,Randomized,1
219,0.1,Randomized,1
220,0.25,Randomized,1
221,0.5,Randomized,0
222,1.0,Randomized,0
223,5.0,Randomized,0
224,0.0,Naive,1
225,0.025,Randomized,1
226,0.05,Randomized,1
227,0.1,Randomized,1
228,0.25,Randomized,0
229,0.5,Randomized,0
230,1.0,Randomized,0
231,5.0,Randomized,0
232,0.0,Naive,1
233,0.025,Randomized,1
234,0.05,Randomized,1
235,0.1,Randomized,1
236,0.25,Randomized,1
237,0.5,Randomized,0
238,1.0,Randomized,0
239,5.0,Randomized,0
240,0.0,Naive,1
