Tau,Type,Type I Error
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,0.99
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,0.995
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,0.995
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,0.99
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,0.99
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,0.99
0.0,Naive,1.0
0.0,Naive,0.995
0.0,Naive,1.0
0.0,Naive,1.0
0.025,Randomized,0.03
0.025,Randomized,0.03
0.025,Randomized,0.07
0.025,Randomized,0.045
0.025,Randomized,0.04
0.025,Randomized,0.065
0.025,Randomized,0.07
0.025,Randomized,0.04
0.025,Randomized,0.035
0.025,Randomized,0.06
0.025,Randomized,0.06
0.025,Randomized,0.05
0.025,Randomized,0.06
0.025,Randomized,0.05
0.025,Randomized,0.045
0.025,Randomized,0.04
0.025,Randomized,0.035
0.025,Randomized,0.045
0.025,Randomized,0.06
0.025,Randomized,0.075
0.025,Randomized,0.06
0.025,Randomized,0.04
0.025,Randomized,0.04
0.025,Randomized,0.05
0.025,Randomized,0.045
0.025,Randomized,0.04
0.025,Randomized,0.055
0.025,Randomized,0.065
0.025,Randomized,0.06
0.025,Randomized,0.03
0.025,Randomized,0.055
0.025,Randomized,0.07
0.025,Randomized,0.035
0.025,Randomized,0.045
0.025,Randomized,0.075
0.025,Randomized,0.065
0.025,Randomized,0.055
0.025,Randomized,0.035
0.025,Randomized,0.06
0.025,Randomized,0.05
0.025,Randomized,0.065
0.025,Randomized,0.07
0.025,Randomized,0.06
0.025,Randomized,0.04
0.025,Randomized,0.045
0.025,Randomized,0.06
0.025,Randomized,0.045
0.025,Randomized,0.04
0.025,Randomized,0.035
0.025,Randomized,0.055
0.025,Randomized,0.055
0.025,Randomized,0.05
0.025,Randomized,0.035
0.025,Randomized,0.04
0.025,Randomized,0.085
0.025,Randomized,0.065
0.025,Randomized,0.04
0.025,Randomized,0.045
0.025,Randomized,0.04
0.025,Randomized,0.045
0.025,Randomized,0.035
0.025,Randomized,0.065
0.025,Randomized,0.055
0.025,Randomized,0.03
0.025,Randomized,0.06
0.025,Randomized,0.05
0.025,Randomized,0.045
0.025,Randomized,0.04
0.025,Randomized,0.05
0.025,Randomized,0.06
0.025,Randomized,0.025
0.025,Randomized,0.03
0.025,Randomized,0.065
0.025,Randomized,0.035
0.025,Randomized,0.065
0.025,Randomized,0.06
0.025,Randomized,0.035
0.025,Randomized,0.055
0.025,Randomized,0.035
0.025,Randomized,0.035
0.025,Randomized,0.06
0.025,Randomized,0.035
0.025,Randomized,0.05
0.025,Randomized,0.11
0.025,Randomized,0.065
0.025,Randomized,0.075
0.025,Randomized,0.035
0.025,Randomized,0.035
0.025,Randomized,0.05
0.025,Randomized,0.06
0.025,Randomized,0.045
0.025,Randomized,0.08
0.025,Randomized,0.065
0.025,Randomized,0.03
0.025,Randomized,0.045
0.025,Randomized,0.055
0.025,Randomized,0.06
0.025,Randomized,0.06
0.025,Randomized,0.045
0.025,Randomized,0.07
0.05,Randomized,0.055
0.05,Randomized,0.035
0.05,Randomized,0.025
0.05,Randomized,0.025
0.05,Randomized,0.085
0.05,Randomized,0.065
0.05,Randomized,0.035
0.05,Randomized,0.03
0.05,Randomized,0.035
0.05,Randomized,0.025
0.05,Randomized,0.06
0.05,Randomized,0.045
0.05,Randomized,0.065
0.05,Randomized,0.045
0.05,Randomized,0.045
0.05,Randomized,0.04
0.05,Randomized,0.05
0.05,Randomized,0.035
0.05,Randomized,0.035
0.05,Randomized,0.05
0.05,Randomized,0.065
0.05,Randomized,0.035
0.05,Randomized,0.07
0.05,Randomized,0.05
0.05,Randomized,0.05
0.05,Randomized,0.055
0.05,Randomized,0.055
0.05,Randomized,0.02
0.05,Randomized,0.08
0.05,Randomized,0.065
0.05,Randomized,0.045
0.05,Randomized,0.06
0.05,Randomized,0.055
0.05,Randomized,0.07
0.05,Randomized,0.045
0.05,Randomized,0.06
0.05,Randomized,0.045
0.05,Randomized,0.04
0.05,Randomized,0.045
0.05,Randomized,0.04
0.05,Randomized,0.04
0.05,Randomized,0.08
0.05,Randomized,0.09
0.05,Randomized,0.055
0.05,Randomized,0.045
0.05,Randomized,0.075
0.05,Randomized,0.06
0.05,Randomized,0.055
0.05,Randomized,0.055
0.05,Randomized,0.045
0.05,Randomized,0.055
0.05,Randomized,0.055
0.05,Randomized,0.045
0.05,Randomized,0.04
0.05,Randomized,0.045
0.05,Randomized,0.095
0.05,Randomized,0.055
0.05,Randomized,0.055
0.05,Randomized,0.045
0.05,Randomized,0.07
0.05,Randomized,0.085
0.05,Randomized,0.095
0.05,Randomized,0.04
0.05,Randomized,0.06
0.05,Randomized,0.04
0.05,Randomized,0.055
0.05,Randomized,0.055
0.05,Randomized,0.08
0.05,Randomized,0.06
0.05,Randomized,0.065
0.05,Randomized,0.03
0.05,Randomized,0.065
0.05,Randomized,0.04
0.05,Randomized,0.065
0.05,Randomized,0.03
0.05,Randomized,0.06
0.05,Randomized,0.035
0.05,Randomized,0.055
0.05,Randomized,0.04
0.05,Randomized,0.065
0.05,Randomized,0.04
0.05,Randomized,0.055
0.05,Randomized,0.05
0.05,Randomized,0.055
0.05,Randomized,0.06
0.05,Randomized,0.045
0.05,Randomized,0.035
0.05,Randomized,0.05
0.05,Randomized,0.05
0.05,Randomized,0.06
0.05,Randomized,0.07
0.05,Randomized,0.04
0.05,Randomized,0.06
0.05,Randomized,0.04
0.05,Randomized,0.035
0.05,Randomized,0.045
0.05,Randomized,0.06
0.05,Randomized,0.05
0.05,Randomized,0.07
0.05,Randomized,0.04
0.1,Randomized,0.04
0.1,Randomized,0.045
0.1,Randomized,0.09
0.1,Randomized,0.07
0.1,Randomized,0.085
0.1,Randomized,0.07
0.1,Randomized,0.035
0.1,Randomized,0.045
0.1,Randomized,0.055
0.1,Randomized,0.035
0.1,Randomized,0.075
0.1,Randomized,0.03
0.1,Randomized,0.05
0.1,Randomized,0.07
0.1,Randomized,0.045
0.1,Randomized,0.055
0.1,Randomized,0.045
0.1,Randomized,0.03
0.1,Randomized,0.055
0.1,Randomized,0.045
0.1,Randomized,0.035
0.1,Randomized,0.03
0.1,Randomized,0.025
0.1,Randomized,0.035
0.1,Randomized,0.055
0.1,Randomized,0.04
0.1,Randomized,0.02
0.1,Randomized,0.035
0.1,Randomized,0.07
0.1,Randomized,0.055
0.1,Randomized,0.05
0.1,Randomized,0.04
0.1,Randomized,0.04
0.1,Randomized,0.09
0.1,Randomized,0.04
0.1,Randomized,0.065
0.1,Randomized,0.055
0.1,Randomized,0.035
0.1,Randomized,0.07
0.1,Randomized,0.015
0.1,Randomized,0.045
0.1,Randomized,0.04
0.1,Randomized,0.035
0.1,Randomized,0.05
0.1,Randomized,0.045
0.1,Randomized,0.055
0.1,Randomized,0.06
0.1,Randomized,0.045
0.1,Randomized,0.065
0.1,Randomized,0.055
0.1,Randomized,0.05
0.1,Randomized,0.045
0.1,Randomized,0.055
0.1,Randomized,0.055
0.1,Randomized,0.06
0.1,Randomized,0.035
0.1,Randomized,0.05
0.1,Randomized,0.04
0.1,Randomized,0.03
0.1,Randomized,0.07
0.1,Randomized,0.055
0.1,Randomized,0.07
0.1,Randomized,0.06
0.1,Randomized,0.04
0.1,Randomized,0.025
0.1,Randomized,0.06
0.1,Randomized,0.06
0.1,Randomized,0.05
0.1,Randomized,0.07
0.1,Randomized,0.065
0.1,Randomized,0.05
0.1,Randomized,0.06
0.1,Randomized,0.055
0.1,Randomized,0.04
0.1,Randomized,0.06
0.1,Randomized,0.05
0.1,Randomized,0.055
0.1,Randomized,0.055
0.1,Randomized,0.07
0.1,Randomized,0.065
0.1,Randomized,0.06
0.1,Randomized,0.035
0.1,Randomized,0.05
0.1,Randomized,0.04
0.1,Randomized,0.08
0.1,Randomized,0.07
0.1,Randomized,0.035
0.1,Randomized,0.045
0.1,Randomized,0.05
0.1,Randomized,0.055
0.1,Randomized,0.035
0.1,Randomized,0.015
0.1,Randomized,0.035
0.1,Randomized,0.04
0.1,Randomized,0.03
0.1,Randomized,0.07
0.1,Randomized,0.03
0.1,Randomized,0.025
0.1,Randomized,0.06
0.1,Randomized,0.035
0.25,Randomized,0.045
0.25,Randomized,0.045
0.25,Randomized,0.05
0.25,Randomized,0.055
0.25,Randomized,0.045
0.25,Randomized,0.055
0.25,Randomized,0.055
0.25,Randomized,0.035
0.25,Randomized,0.03
0.25,Randomized,0.075
0.25,Randomized,0.05
0.25,Randomized,0.03
0.25,Randomized,0.05
0.25,Randomized,0.035
0.25,Randomized,0.055
0.25,Randomized,0.05
0.25,Randomized,0.045
0.25,Randomized,0.07
0.25,Randomized,0.03
0.25,Randomized,0.055
0.25,Randomized,0.06
0.25,Randomized,0.04
0.25,Randomized,0.04
0.25,Randomized,0.045
0.25,Randomized,0.045
0.25,Randomized,0.07
0.25,Randomized,0.055
0.25,Randomized,0.05
0.25,Randomized,0.025
0.25,Randomized,0.07
0.25,Randomized,0.04
0.25,Randomized,0.03
0.25,Randomized,0.055
0.25,Randomized,0.055
0.25,Randomized,0.05
0.25,Randomized,0.065
0.25,Randomized,0.075
0.25,Randomized,0.04
0.25,Randomized,0.075
0.25,Randomized,0.03
0.25,Randomized,0.05
0.25,Randomized,0.06
0.25,Randomized,0.025
0.25,Randomized,0.045
0.25,Randomized,0.06
0.25,Randomized,0.035
0.25,Randomized,0.045
0.25,Randomized,0.035
0.25,Randomized,0.02
0.25,Randomized,0.04
0.25,Randomized,0.05
0.25,Randomized,0.02
0.25,Randomized,0.03
0.25,Randomized,0.06
0.25,Randomized,0.045
0.25,Randomized,0.03
0.25,Randomized,0.04
0.25,Randomized,0.03
0.25,Randomized,0.06
0.25,Randomized,0.06
0.25,Randomized,0.05
0.25,Randomized,0.06
0.25,Randomized,0.06
0.25,Randomized,0.04
0.25,Randomized,0.05
0.25,Randomized,0.03
0.25,Randomized,0.055
0.25,Randomized,0.025
0.25,Randomized,0.055
0.25,Randomized,0.04
0.25,Randomized,0.065
0.25,Randomized,0.05
0.25,Randomized,0.035
0.25,Randomized,0.075
0.25,Randomized,0.055
0.25,Randomized,0.035
0.25,Randomized,0.055
0.25,Randomized,0.06
0.25,Randomized,0.03
0.25,Randomized,0.045
0.25,Randomized,0.06
0.25,Randomized,0.02
0.25,Randomized,0.06
0.25,Randomized,0.02
0.25,Randomized,0.035
0.25,Randomized,0.06
0.25,Randomized,0.04
0.25,Randomized,0.06
0.25,Randomized,0.04
0.25,Randomized,0.06
0.25,Randomized,0.035
0.25,Randomized,0.055
0.25,Randomized,0.03
0.25,Randomized,0.04
0.25,Randomized,0.05
0.25,Randomized,0.045
0.25,Randomized,0.05
0.25,Randomized,0.06
0.25,Randomized,0.065
0.25,Randomized,0.015
0.5,Randomized,0.035
0.5,Randomized,0.065
0.5,Randomized,0.065
0.5,Randomized,0.05
0.5,Randomized,0.06
0.5,Randomized,0.055
0.5,Randomized,0.08
0.5,Randomized,0.06
0.5,Randomized,0.05
0.5,Randomized,0.055
0.5,Randomized,0.04
0.5,Randomized,0.03
0.5,Randomized,0.045
0.5,Randomized,0.055
0.5,Randomized,0.07
0.5,Randomized,0.04
0.5,Randomized,0.035
0.5,Randomized,0.055
0.5,Randomized,0.08
0.5,Randomized,0.05
0.5,Randomized,0.06
0.5,Randomized,0.045
0.5,Randomized,0.055
0.5,Randomized,0.035
0.5,Randomized,0.035
0.5,Randomized,0.045
0.5,Randomized,0.055
0.5,Randomized,0.045
0.5,Randomized,0.045
0.5,Randomized,0.07
0.5,Randomized,0.045
0.5,Randomized,0.035
0.5,Randomized,0.04
0.5,Randomized,0.035
0.5,Randomized,0.055
0.5,Randomized,0.05
0.5,Randomized,0.06
0.5,Randomized,0.055
0.5,Randomized,0.035
0.5,Randomized,0.035
0.5,Randomized,0.06
0.5,Randomized,0.03
0.5,Randomized,0.055
0.5,Randomized,0.04
0.5,Randomized,0.05
0.5,Randomized,0.025
0.5,Randomized,0.045
0.5,Randomized,0.06
0.5,Randomized,0.06
0.5,Randomized,0.06
0.5,Randomized,0.04
0.5,Randomized,0.07
0.5,Randomized,0.055
0.5,Randomized,0.055
0.5,Randomized,0.02
0.5,Randomized,0.03
0.5,Randomized,0.045
0.5,Randomized,0.045
0.5,Randomized,0.075
0.5,Randomized,0.05
0.5,Randomized,0.025
0.5,Randomized,0.035
0.5,Randomized,0.055
0.5,Randomized,0.065
0.5,Randomized,0.07
0.5,Randomized,0.07
0.5,Randomized,0.075
0.5,Randomized,0.055
0.5,Randomized,0.02
0.5,Randomized,0.05
0.5,Randomized,0.055
0.5,Randomized,0.035
0.5,Randomized,0.05
0.5,Randomized,0.045
0.5,Randomized,0.045
0.5,Randomized,0.04
0.5,Randomized,0.04
0.5,Randomized,0.045
0.5,Randomized,0.035
0.5,Randomized,0.045
0.5,Randomized,0.035
0.5,Randomized,0.06
0.5,Randomized,0.045
0.5,Randomized,0.05
0.5,Randomized,0.03
0.5,Randomized,0.045
0.5,Randomized,0.05
0.5,Randomized,0.065
0.5,Randomized,0.025
0.5,Randomized,0.05
0.5,Randomized,0.045
0.5,Randomized,0.02
0.5,Randomized,0.06
0.5,Randomized,0.045
0.5,Randomized,0.025
0.5,Randomized,0.05
0.5,Randomized,0.055
0.5,Randomized,0.07
0.5,Randomized,0.04
0.5,Randomized,0.055
1.0,Randomized,0.03
1.0,Randomized,0.04
1.0,Randomized,0.055
1.0,Randomized,0.06
1.0,Randomized,0.09
1.0,Randomized,0.05
1.0,Randomized,0.03
1.0,Randomized,0.065
1.0,Randomized,0.05
1.0,Randomized,0.07
1.0,Randomized,0.055
1.0,Randomized,0.045
1.0,Randomized,0.06
1.0,Randomized,0.065
1.0,Randomized,0.055
1.0,Randomized,0.05
1.0,Randomized,0.045
1.0,Randomized,0.03
1.0,Randomized,0.045
1.0,Randomized,0.08
1.0,Randomized,0.045
1.0,Randomized,0.025
1.0,Randomized,0.045
1.0,Randomized,0.055
1.0,Randomized,0.05
1.0,Randomized,0.06
1.0,Randomized,0.045
1.0,Randomized,0.045
1.0,Randomized,0.06
1.0,Randomized,0.045
1.0,Randomized,0.025
1.0,Randomized,0.025
1.0,Randomized,0.05
1.0,Randomized,0.025
1.0,Randomized,0.09
1.0,Randomized,0.03
1.0,Randomized,0.06
1.0,Randomized,0.05
1.0,Randomized,0.055
1.0,Randomized,0.05
1.0,Randomized,0.07
1.0,Randomized,0.06
1.0,Randomized,0.07
1.0,Randomized,0.055
1.0,Randomized,0.04
1.0,Randomized,0.04
1.0,Randomized,0.055
1.0,Randomized,0.05
1.0,Randomized,0.085
1.0,Randomized,0.04
1.0,Randomized,0.07
1.0,Randomized,0.05
1.0,Randomized,0.065
1.0,Randomized,0.04
1.0,Randomized,0.06
1.0,Randomized,0.02
1.0,Randomized,0.055
1.0,Randomized,0.06
1.0,Randomized,0.045
1.0,Randomized,0.055
1.0,Randomized,0.03
1.0,Randomized,0.055
1.0,Randomized,0.06
1.0,Randomized,0.075
1.0,Randomized,0.05
1.0,Randomized,0.025
1.0,Randomized,0.045
1.0,Randomized,0.05
1.0,Randomized,0.03
1.0,Randomized,0.04
1.0,Randomized,0.045
1.0,Randomized,0.04
1.0,Randomized,0.03
1.0,Randomized,0.045
1.0,Randomized,0.07
1.0,Randomized,0.04
1.0,Randomized,0.035
1.0,Randomized,0.06
1.0,Randomized,0.055
1.0,Randomized,0.05
1.0,Randomized,0.05
1.0,Randomized,0.075
1.0,Randomized,0.045
1.0,Randomized,0.015
1.0,Randomized,0.065
1.0,Randomized,0.02
1.0,Randomized,0.05
1.0,Randomized,0.035
1.0,Randomized,0.045
1.0,Randomized,0.065
1.0,Randomized,0.06
1.0,Randomized,0.035
1.0,Randomized,0.04
1.0,Randomized,0.035
1.0,Randomized,0.05
1.0,Randomized,0.065
1.0,Randomized,0.055
1.0,Randomized,0.05
1.0,Randomized,0.04
1.0,Randomized,0.06
5.0,Randomized,0.04
5.0,Randomized,0.06
5.0,Randomized,0.035
5.0,Randomized,0.04
5.0,Randomized,0.06
5.0,Randomized,0.05
5.0,Randomized,0.05
5.0,Randomized,0.065
5.0,Randomized,0.03
5.0,Randomized,0.05
5.0,Randomized,0.055
5.0,Randomized,0.06
5.0,Randomized,0.05
5.0,Randomized,0.055
5.0,Randomized,0.045
5.0,Randomized,0.075
5.0,Randomized,0.05
5.0,Randomized,0.035
5.0,Randomized,0.04
5.0,Randomized,0.055
5.0,Randomized,0.04
5.0,Randomized,0.045
5.0,Randomized,0.05
5.0,Randomized,0.02
5.0,Randomized,0.05
5.0,Randomized,0.07
5.0,Randomized,0.055
5.0,Randomized,0.025
5.0,Randomized,0.04
5.0,Randomized,0.025
5.0,Randomized,0.045
5.0,Randomized,0.04
