tau,delta,effect_size,reject,min_size>=10,method,recovery_prob
0.1,1.0,0.5555555555555555,0,0,Randomized,0.9675
0.1,1.0,0.8666666666666667,0,0,Randomized,0.9675
0.1,1.0,0.6428571428571429,0,0,Randomized,0.9675
0.1,1.0,0.4166666666666666,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.8148148148148148,0,0,Randomized,0.9675
0.1,1.0,0.7333333333333333,0,0,Randomized,0.9675
0.1,1.0,0.5555555555555556,0,0,Randomized,0.9675
0.1,1.0,0.6136363636363636,0,0,Randomized,0.9675
0.1,1.0,0.8333333333333334,1,0,Randomized,0.9675
0.1,1.0,0.7916666666666666,0,0,Randomized,0.9675
0.1,1.0,0.6818181818181818,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.619047619047619,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.7499999999999999,1,0,Randomized,0.9675
0.1,1.0,0.49999999999999994,0,0,Randomized,0.9675
0.1,1.0,0.86,0,0,Randomized,0.9675
0.1,1.0,0.6666666666666666,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999998,0,0,Randomized,0.9675
0.1,1.0,1.0,0,0,Randomized,0.9675
0.1,1.0,0.5454545454545454,0,0,Randomized,0.9675
0.1,1.0,0.16666666666666666,0,0,Randomized,0.9675
0.1,1.0,0.45454545454545453,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.5999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.5555555555555555,0,0,Randomized,0.9675
0.1,1.0,0.8333333333333334,0,0,Randomized,0.9675
0.1,1.0,0.8888888888888888,0,0,Randomized,0.9675
0.1,1.0,0.6666666666666666,0,0,Randomized,0.9675
0.1,1.0,1.0,0,0,Randomized,0.9675
0.1,1.0,0.8125,0,0,Randomized,0.9675
0.1,1.0,0.0,0,0,Randomized,0.9675
0.1,1.0,1.0,0,0,Randomized,0.9675
0.1,1.0,0.0,0,0,Randomized,0.9675
0.1,1.0,0.49999999999999994,0,0,Randomized,0.9675
0.1,1.0,0.8749999999999999,0,0,Randomized,0.9675
0.1,1.0,1.0,0,0,Randomized,0.9675
0.1,1.0,0.625,1,0,Randomized,0.9675
0.1,1.0,0.775,0,0,Randomized,0.9675
0.1,1.0,0.6190476190476191,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.6428571428571429,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,1.0,1,0,Randomized,0.9675
0.1,1.0,0.8,0,0,Randomized,0.9675
0.1,1.0,0.6458333333333334,0,0,Randomized,0.9675
0.1,1.0,0.4999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.8333333333333334,0,0,Randomized,0.9675
0.1,1.0,0.64,0,0,Randomized,0.9675
0.1,1.0,0.7,1,0,Randomized,0.9675
0.1,1.0,0.6805555555555556,0,0,Randomized,0.9675
0.1,1.0,1.0,0,0,Randomized,0.9675
0.1,1.0,0.5,0,0,Randomized,0.9675
0.1,1.0,0.6666666666666666,0,0,Randomized,0.9675
0.1,1.0,0.6333333333333333,0,0,Randomized,0.9675
0.1,1.0,0.8333333333333334,0,0,Randomized,0.9675
0.1,1.0,0.6666666666666666,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.764705882352941,0,0,Randomized,0.9675
0.1,1.0,0.631578947368421,0,0,Randomized,0.9675
0.1,1.0,0.5999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.9,0,0,Randomized,0.9675
0.1,1.0,0.6499999999999999,0,0,Randomized,0.9675
0.1,1.0,0.4444444444444444,0,0,Randomized,0.9675
0.1,1.0,0.75,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.7272727272727273,0,0,Randomized,0.9675
0.1,1.0,0.7440476190476191,0,1,Randomized,0.9675
0.1,1.0,0.7105263157894737,0,0,Randomized,0.9675
0.1,1.0,0.75,0,0,Randomized,0.9675
0.1,1.0,0.49999999999999994,0,0,Randomized,0.9675
0.1,1.0,0.7333333333333333,0,0,Randomized,0.9675
0.1,1.0,0.7999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.7391304347826086,0,0,Randomized,0.9675
0.1,1.0,0.6666666666666666,0,0,Randomized,0.9675
0.1,1.0,0.65,0,0,Randomized,0.9675
0.1,1.0,1.0,0,0,Randomized,0.9675
0.1,1.0,1.0,0,0,Randomized,0.9675
0.1,1.0,0.5,0,0,Randomized,0.9675
0.1,1.0,1.0,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.6956521739130435,0,0,Randomized,0.9675
0.1,1.0,0.7,0,0,Randomized,0.9675
0.1,1.0,0.76,0,0,Randomized,0.9675
0.1,1.0,0.8333333333333334,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,1,0,Randomized,0.9675
0.1,1.0,0.6818181818181818,0,0,Randomized,0.9675
0.1,1.0,0.7083333333333334,0,0,Randomized,0.9675
0.1,1.0,0.6875,0,0,Randomized,0.9675
0.1,1.0,0.5833333333333334,0,0,Randomized,0.9675
0.1,1.0,1.0,0,0,Randomized,0.9675
0.1,1.0,0.0,0,0,Randomized,0.9675
0.1,1.0,0.0,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.7045454545454546,0,0,Randomized,0.9675
0.1,1.0,0.6428571428571429,0,0,Randomized,0.9675
0.1,1.0,0.6458333333333334,0,0,Randomized,0.9675
0.1,1.0,0.7999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.42857142857142855,0,0,Randomized,0.9675
0.1,1.0,0.6428571428571427,0,0,Randomized,0.9675
0.1,1.0,0.6666666666666666,0,0,Randomized,0.9675
0.1,1.0,0.0,0,0,Randomized,0.9675
0.1,1.0,0.5357142857142857,0,0,Randomized,0.9675
0.1,1.0,0.8214285714285714,0,0,Randomized,0.9675
0.1,1.0,0.6538461538461537,0,0,Randomized,0.9675
0.1,1.0,0.6666666666666666,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
0.1,1.0,0.6666666666666666,0,0,Randomized,0.9675
0.1,1.0,0.9999999999999999,0,0,Randomized,0.9675
