tau,delta,effect_size,reject,min_size>=10,method,linkage
NA,1.0,0.6518518518518518,0,0,Barber,average
NA,1.0,0.6956521739130435,0,0,Barber,average
NA,1.0,0.6923076923076923,0,0,Barber,average
NA,1.0,0.7345679012345678,0,0,Barber,average
NA,1.0,0.575,0,0,Barber,average
NA,1.0,0.5952380952380952,0,0,Barber,average
NA,1.0,0.6888888888888889,0,0,Barber,average
NA,1.0,0.7676767676767676,0,1,Barber,average
NA,1.0,0.7142857142857142,0,0,Barber,average
NA,1.0,0.7032967032967032,0,1,Barber,average
NA,1.0,0.7532467532467532,0,0,Barber,average
NA,1.0,0.6993006993006993,0,1,Barber,average
NA,1.0,0.7698412698412698,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.6538461538461539,0,0,Barber,average
NA,1.0,0.7165775401069518,0,1,Barber,average
NA,1.0,0.7727272727272727,0,0,Barber,average
NA,1.0,0.9047619047619048,0,0,Barber,average
NA,1.0,0.7,0,1,Barber,average
NA,1.0,0.7083333333333333,0,0,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.6904761904761905,0,1,Barber,average
NA,1.0,0.6363636363636364,0,0,Barber,average
NA,1.0,0.7142857142857142,0,1,Barber,average
NA,1.0,0.6722689075630252,0,0,Barber,average
NA,1.0,0.6746031746031745,0,0,Barber,average
NA,1.0,0.5,0,0,Barber,average
NA,1.0,0.6799999999999999,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6847826086956521,0,0,Barber,average
NA,1.0,0.6842105263157894,0,0,Barber,average
NA,1.0,0.6538461538461537,0,0,Barber,average
NA,1.0,0.6888888888888889,0,0,Barber,average
NA,1.0,0.703030303030303,0,1,Barber,average
NA,1.0,0.8214285714285714,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.7333333333333333,0,1,Barber,average
NA,1.0,0.6794871794871794,0,1,Barber,average
NA,1.0,0.6333333333333333,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6538461538461539,0,0,Barber,average
NA,1.0,0.7094017094017093,0,0,Barber,average
NA,1.0,0.75,0,0,Barber,average
NA,1.0,0.7105263157894737,0,0,Barber,average
NA,1.0,0.6845238095238094,0,0,Barber,average
NA,1.0,0.7142857142857142,0,0,Barber,average
NA,1.0,0.7708333333333333,0,1,Barber,average
NA,1.0,0.725,0,0,Barber,average
NA,1.0,0.72,0,0,Barber,average
NA,1.0,0.7333333333333333,0,0,Barber,average
NA,1.0,0.5909090909090908,0,0,Barber,average
NA,1.0,0.8061224489795918,0,0,Barber,average
