,delta,Tau,Method,WCSS/TSS
0,2,0.0,Naive,0.9457102849305167
1,2,0.1,Randomized,0.9457102849305167
2,2,0.0,Naive,0.896862597624702
3,2,0.1,Randomized,0.5889567336084306
4,2,0.0,Naive,0.8828764599430414
5,2,0.1,Randomized,0.6123904529902541
6,2,0.0,Naive,0.8381389646151141
7,2,0.1,Randomized,0.8445205020129483
8,2,0.0,Naive,0.8709691251309505
9,2,0.1,Randomized,0.8709691251309505
10,2,0.0,Naive,0.8764563031677948
11,2,0.1,Randomized,0.8388970986161839
12,2,0.0,Naive,0.7905956587328343
13,2,0.1,Randomized,0.7905956587328343
14,2,0.0,Naive,0.8104343973510036
15,2,0.1,Randomized,0.9028234427167952
16,2,0.0,Naive,0.8141811570818016
17,2,0.1,Randomized,0.9249000077778363
18,2,0.0,Naive,0.8266130808462607
19,2,0.1,Randomized,0.9214643462305945
20,2,0.0,Naive,0.8203203912390651
21,2,0.1,Randomized,0.7471402661354003
22,2,0.0,Naive,0.8850216576007439
23,2,0.1,Randomized,0.31225835559451876
24,2,0.0,Naive,0.8784919366371284
25,2,0.1,Randomized,0.8784919366371284
26,2,0.0,Naive,0.8703252796770066
27,2,0.1,Randomized,0.8703252796770066
28,2,0.0,Naive,0.843227887322766
29,2,0.1,Randomized,0.7472590406821816
30,2,0.0,Naive,0.7373445874716986
31,2,0.1,Randomized,0.7373445874716986
32,2,0.0,Naive,0.8303195652884653
33,2,0.1,Randomized,0.8303195652884653
34,2,0.0,Naive,0.6237927426854316
35,2,0.1,Randomized,0.6237927426854316
36,2,0.0,Naive,0.7813744958802958
37,2,0.1,Randomized,0.7813744958802958
38,2,0.0,Naive,0.6538272164773817
39,2,0.1,Randomized,0.3616794954259001
40,2,0.0,Naive,0.8491927876186157
41,2,0.1,Randomized,0.44377462871968326
42,2,0.0,Naive,0.8445427883025097
43,2,0.1,Randomized,0.8445427883025097
44,2,0.0,Naive,0.8942308755563815
45,2,0.1,Randomized,0.8728849597446506
46,2,0.0,Naive,0.8358433484241038
47,2,0.1,Randomized,0.6848724623919125
48,2,0.0,Naive,0.8345331930717415
49,2,0.1,Randomized,0.8345331930717415
50,2,0.0,Naive,0.9317636079585229
51,2,0.1,Randomized,0.8294911450890009
52,2,0.0,Naive,0.7538725657577342
53,2,0.1,Randomized,0.6919257989491892
54,2,0.0,Naive,0.9059900520961103
55,2,0.1,Randomized,0.9059900520961103
56,2,0.0,Naive,0.8317070728394603
57,2,0.1,Randomized,0.8317070728394603
58,2,0.0,Naive,0.6147026577597641
59,2,0.1,Randomized,0.8890485952906297
60,2,0.0,Naive,0.541636101988174
61,2,0.1,Randomized,0.541636101988174
62,2,0.0,Naive,0.8857857509414596
63,2,0.1,Randomized,0.8857857509414596
64,2,0.0,Naive,0.5774695166877676
65,2,0.1,Randomized,0.5774695166877676
66,2,0.0,Naive,0.8070669724040128
67,2,0.1,Randomized,0.8070669724040128
68,2,0.0,Naive,0.5978939940099399
69,2,0.1,Randomized,0.5978939940099399
70,2,0.0,Naive,0.8900041258646362
71,2,0.1,Randomized,0.8900041258646362
72,2,0.0,Naive,0.5640145616858236
73,2,0.1,Randomized,0.8919953307120898
74,2,0.0,Naive,0.8932393336214705
75,2,0.1,Randomized,0.5195837270176973
76,2,0.0,Naive,0.7709677763955873
77,2,0.1,Randomized,0.8807581520538402
78,2,0.0,Naive,0.8507716393785719
79,2,0.1,Randomized,0.8507716393785719
80,2,0.0,Naive,0.8511081754114677
81,2,0.1,Randomized,0.8511081754114677
82,2,0.0,Naive,0.864442304284924
83,2,0.1,Randomized,0.864442304284924
84,2,0.0,Naive,0.8121904080401462
85,2,0.1,Randomized,0.8121904080401462
86,2,0.0,Naive,0.6481983587203767
87,2,0.1,Randomized,0.8922809827210179
88,2,0.0,Naive,0.5319732028326105
89,2,0.1,Randomized,0.4798046683354007
90,2,0.0,Naive,0.8640471434860477
91,2,0.1,Randomized,0.8640471434860477
92,2,0.0,Naive,0.874844376595564
93,2,0.1,Randomized,0.7217289627554963
94,2,0.0,Naive,0.4659828637120295
95,2,0.1,Randomized,0.8406650762960164
96,2,0.0,Naive,0.9583882599868275
97,2,0.1,Randomized,0.9583882599868275
98,2,0.0,Naive,0.7853590724949713
99,2,0.1,Randomized,0.7853590724949713
100,2,0.0,Naive,0.8123296976506089
101,2,0.1,Randomized,0.8123296976506089
102,2,0.0,Naive,0.795095002603421
103,2,0.1,Randomized,0.795095002603421
104,2,0.0,Naive,0.7628664802926142
105,2,0.1,Randomized,0.7628664802926142
106,2,0.0,Naive,0.8689286743618782
107,2,0.1,Randomized,0.8328606578211348
108,2,0.0,Naive,0.9484019126720395
109,2,0.1,Randomized,0.7154054506155229
110,2,0.0,Naive,0.8582930283135777
111,2,0.1,Randomized,0.8582930283135777
112,2,0.0,Naive,0.9491649402469198
113,2,0.1,Randomized,0.9491649402469198
114,2,0.0,Naive,0.85963330005434
115,2,0.1,Randomized,0.85963330005434
116,2,0.0,Naive,0.9008674554501968
117,2,0.1,Randomized,0.9008674554501968
118,2,0.0,Naive,0.8224184935598176
119,2,0.1,Randomized,0.8224184935598176
120,2,0.0,Naive,0.878433315672945
121,2,0.1,Randomized,0.878433315672945
122,2,0.0,Naive,0.8032849768009616
123,2,0.1,Randomized,0.8032849768009616
124,2,0.0,Naive,0.9186260318096506
125,2,0.1,Randomized,0.9426102905603594
126,2,0.0,Naive,0.8284386950162438
127,2,0.1,Randomized,0.8284386950162438
128,2,0.0,Naive,0.8188493965178175
129,2,0.1,Randomized,0.8188493965178175
130,2,0.0,Naive,0.9179400657600553
131,2,0.1,Randomized,0.9179400657600553
132,2,0.0,Naive,0.8447750624445451
133,2,0.1,Randomized,0.6508217262157312
134,2,0.0,Naive,0.8997605738708048
135,2,0.1,Randomized,0.8000349266280699
136,2,0.0,Naive,0.8263943628861912
137,2,0.1,Randomized,0.8682861298448469
138,2,0.0,Naive,0.734273958208654
139,2,0.1,Randomized,0.8658868744735032
140,2,0.0,Naive,0.564402965307453
141,2,0.1,Randomized,0.9545703176593716
142,2,0.0,Naive,0.8016768806025603
143,2,0.1,Randomized,0.8645500485066113
144,2,0.0,Naive,0.8048805164787327
145,2,0.1,Randomized,0.8048805164787327
146,2,0.0,Naive,0.7843237978912307
147,2,0.1,Randomized,0.7843237978912307
148,2,0.0,Naive,0.8431672633419414
149,2,0.1,Randomized,0.8431672633419414
150,2,0.0,Naive,0.8454828134699562
151,2,0.1,Randomized,0.8454828134699562
152,2,0.0,Naive,0.46350341590221517
153,2,0.1,Randomized,0.46350341590221517
154,2,0.0,Naive,0.8200375845842155
155,2,0.1,Randomized,0.8363063445671592
156,2,0.0,Naive,0.7844739586976779
157,2,0.1,Randomized,0.8558378805777422
158,2,0.0,Naive,0.7780768651656994
159,2,0.1,Randomized,0.7780768651656994
160,2,0.0,Naive,0.792295580907223
