Tau,Delta,Power,Recovery_Rate,Successful_Trials,Method
,4,1.0,1.0,,Gao
,6,1.0,1.0,,Gao
,8,1.0,1.0,,Gao
,10,1.0,1.0,,Gao
,12,1.0,1.0,,Gao
,4,1.0,1.0,,Barber
,6,1.0,1.0,,Barber
,8,1.0,1.0,,Barber
,10,1.0,1.0,,Barber
,12,1.0,1.0,,Barber
0.0,4,,0.0,False,Randomized
0.0,6,1.0,1.0,True,Randomized
0.0,8,1.0,1.0,True,Randomized
0.0,10,1.0,1.0,True,Randomized
0.0,12,1.0,1.0,True,Randomized
0.01,4,,0.0,False,Randomized
0.01,6,1.0,1.0,True,Randomized
0.01,8,1.0,1.0,True,Randomized
0.01,10,1.0,1.0,True,Randomized
0.01,12,1.0,1.0,True,Randomized
0.05,4,,0.0,False,Randomized
0.05,6,,0.0,False,Randomized
0.05,8,1.0,1.0,True,Randomized
0.05,10,1.0,1.0,True,Randomized
0.05,12,1.0,1.0,True,Randomized
0.1,4,,0.0,False,Randomized
0.1,6,,0.0,False,Randomized
0.1,8,1.0,1.0,True,Randomized
0.1,10,1.0,1.0,True,Randomized
0.1,12,,0.0,False,Randomized
0.5,4,,0.0,False,Randomized
0.5,6,,0.0,False,Randomized
0.5,8,,0.0,False,Randomized
0.5,10,,0.0,False,Randomized
0.5,12,,0.0,False,Randomized
1.0,4,,0.0,False,Randomized
1.0,6,,0.0,False,Randomized
1.0,8,,0.0,False,Randomized
1.0,10,,0.0,False,Randomized
1.0,12,,0.0,False,Randomized
