tau,delta,effect_size,reject,method
NA,5.0,4.9103485931311965,1,Gao (sigma_clustered)
NA,5.0,4.8806495622848685,1,Gao (sigma_clustered)
NA,6.875,6.385254178145933,1,Gao (sigma_clustered)
NA,6.875,6.824270547691605,1,Gao (sigma_clustered)
NA,8.75,9.684420922984083,1,Gao (sigma_clustered)
NA,8.75,7.2860876518613145,1,Gao (sigma_clustered)
NA,10.625,9.736609204386463,1,Gao (sigma_clustered)
NA,10.625,10.032833868703385,1,Gao (sigma_clustered)
NA,12.5,13.36702361874057,1,Gao (sigma_clustered)
NA,12.5,12.72029408127512,1,Gao (sigma_clustered)
NA,14.375,14.17690124807734,1,Gao (sigma_clustered)
NA,14.375,12.635887312773987,1,Gao (sigma_clustered)
NA,16.25,15.808866146665304,1,Gao (sigma_clustered)
NA,16.25,17.288996140329953,1,Gao (sigma_clustered)
NA,18.125,19.205701229368472,1,Gao (sigma_clustered)
NA,18.125,16.925966234628422,1,Gao (sigma_clustered)
NA,20.0,20.821241365575023,1,Gao (sigma_clustered)
NA,20.0,19.908461047804572,1,Gao (sigma_clustered)
