tau,delta,effect_size,reject,method
NA,5.0,5.001269966943991,1,Gao
NA,5.0,4.487458738624532,1,Gao
NA,6.875,7.407639326795369,1,Gao
NA,6.875,7.16146333706089,1,Gao
NA,8.75,8.567165711238186,1,Gao
NA,8.75,8.284474799558721,1,Gao
NA,10.625,10.316717982064938,1,Gao
NA,10.625,10.351917191701101,1,Gao
NA,12.5,12.049057000165865,1,Gao
NA,12.5,12.060128662049854,1,Gao
NA,14.375,16.261955046954668,1,Gao
NA,14.375,12.607830265231605,1,Gao
NA,16.25,16.82948342178574,1,Gao
NA,16.25,15.659966398059868,1,Gao
NA,18.125,18.069844487988913,1,Gao
NA,18.125,17.35453160805671,1,Gao
NA,20.0,21.21063181811506,1,Gao
NA,20.0,23.70556669568921,1,Gao
