Cluster_sd,K_hat_F,K_hat_gap,Cluster_sd_str
0.1,3,3,0.1
0.1,25,3,0.1
0.1,3,3,0.1
0.1,3,3,0.1
0.1,3,3,0.1
0.1,3,3,0.1
0.1,3,3,0.1
0.1,3,3,0.1
0.1,3,3,0.1
0.1,3,3,0.1
0.5,3,3,0.5
0.5,3,3,0.5
0.5,3,3,0.5
0.5,3,3,0.5
0.5,3,3,0.5
0.5,3,3,0.5
0.5,3,3,0.5
0.5,3,3,0.5
0.5,3,3,0.5
0.5,3,3,0.5
0.8,3,3,0.8
0.8,3,3,0.8
0.8,3,3,0.8
0.8,3,3,0.8
0.8,3,3,0.8
0.8,3,3,0.8
0.8,3,3,0.8
0.8,3,3,0.8
0.8,3,3,0.8
0.8,3,3,0.8
1.0,3,3,1.0
1.0,3,3,1.0
1.0,3,3,1.0
1.0,3,3,1.0
1.0,3,3,1.0
1.0,3,3,1.0
1.0,3,3,1.0
1.0,3,3,1.0
1.0,3,3,1.0
1.0,3,3,1.0
2.0,6,3,2.0
2.0,3,3,2.0
2.0,3,3,2.0
2.0,3,3,2.0
2.0,12,3,2.0
2.0,3,3,2.0
2.0,3,3,2.0
2.0,3,3,2.0
2.0,3,3,2.0
2.0,3,3,2.0
5.0,3,3,5.0
5.0,3,3,5.0
5.0,3,3,5.0
5.0,2,2,5.0
5.0,3,3,5.0
5.0,3,3,5.0
5.0,13,2,5.0
5.0,11,3,5.0
5.0,3,3,5.0
5.0,14,3,5.0
