delta,K_hat_F,K_hat_gap,Preserve,Preserve_Gap
2,1,1,False,False
2,1,1,False,False
2,1,1,False,False
2,1,1,False,False
2,1,1,False,False
2,1,1,False,False
2,1,1,False,False
2,1,1,False,False
2,1,1,False,False
2,1,1,False,False
4,1,2,False,False
4,1,1,False,False
4,6,1,False,False
4,7,1,False,False
4,6,1,False,False
4,2,1,False,False
4,5,1,False,False
4,1,1,False,False
4,3,1,False,False
4,1,1,False,False
6,3,3,False,True
6,4,3,False,True
6,5,3,False,True
6,11,1,True,False
6,5,1,False,True
6,4,3,False,True
6,7,1,False,True
6,3,3,False,True
6,8,1,False,True
6,3,3,False,False
8,6,3,False,True
8,3,3,True,True
8,3,3,True,True
8,3,3,True,True
8,4,3,False,True
8,3,1,False,True
8,3,1,True,True
8,5,1,False,True
8,3,1,True,True
8,3,3,True,True
10,3,3,True,True
10,3,3,True,True
10,3,3,True,True
10,3,3,True,True
10,3,3,True,True
10,3,3,True,True
10,3,3,True,True
10,10,3,True,True
10,3,3,True,True
10,3,3,True,True
12,3,3,True,True
12,3,3,True,True
12,11,3,True,True
12,3,3,True,True
12,3,3,True,True
12,3,3,True,True
12,6,3,True,True
12,3,3,True,True
12,3,3,True,True
12,3,3,True,True
14,3,3,True,True
14,3,1,True,True
14,3,3,True,True
14,3,3,True,True
14,3,3,True,True
14,3,3,True,True
14,3,3,True,True
14,3,3,True,True
14,3,3,True,True
14,3,3,True,True
