Tau,Delta,Conditional Power,Recovery Probability,Successful Trials
0.0,4,1.0,1.0,True
0.0,6,1.0,1.0,True
0.0,8,1.0,1.0,True
0.0,10,1.0,1.0,True
0.0,12,1.0,1.0,True
0.01,4,0.975,1.0,True
0.01,6,1.0,1.0,True
0.01,8,1.0,1.0,True
0.01,10,1.0,1.0,True
0.01,12,1.0,1.0,True
0.05,4,0.935,1.0,True
0.05,6,0.98,1.0,True
0.05,8,1.0,1.0,True
0.05,10,1.0,1.0,True
0.05,12,1.0,1.0,True
0.1,4,0.77,1.0,True
0.1,6,0.955,1.0,True
0.1,8,0.995,1.0,True
0.1,10,0.99,1.0,True
0.1,12,1.0,1.0,True
0.5,4,0.3433734939759036,0.83,False
0.5,6,0.565,1.0,True
0.5,8,0.715,1.0,True
0.5,10,0.77,1.0,True
0.5,12,0.79,1.0,True
1.0,4,0.25280898876404495,0.89,False
1.0,6,0.45,1.0,True
1.0,8,0.55,1.0,True
1.0,10,0.61,1.0,True
1.0,12,0.59,1.0,True
