Tau,Delta,Rejection Proportion,Recovery Probability,Successful Trials
0.0,0,1.0,1.0,0
0.0,2,1.0,1.0,0
0.0,4,1.0,1.0,0
0.0,6,1.0,1.0,0
0.0,8,1.0,1.0,0
0.0,10,1.0,1.0,0
0.01,0,0.06666666666666667,1.0,0
0.01,2,0.06666666666666667,1.0,0
0.01,4,0.2,1.0,0
0.01,6,1.0,1.0,0
0.01,8,1.0,1.0,0
0.01,10,1.0,1.0,0
0.05,0,0.0,1.0,0
0.05,2,0.0,1.0,0
0.05,4,0.26666666666666666,1.0,0
0.05,6,1.0,1.0,0
0.05,8,1.0,1.0,0
0.05,10,1.0,1.0,0
0.1,0,0.06666666666666667,1.0,0
0.1,2,0.13333333333333333,1.0,0
0.1,4,0.7333333333333333,1.0,0
0.1,6,1.0,1.0,0
0.1,8,1.0,1.0,0
0.1,10,1.0,1.0,0
0.5,0,0.06666666666666667,1.0,0
0.5,2,0.0,1.0,0
0.5,4,0.0,1.0,0
0.5,6,0.13333333333333333,1.0,0
0.5,8,0.2,1.0,0
0.5,10,0.13333333333333333,1.0,0
1.0,0,0.06666666666666667,1.0,0
1.0,2,0.06666666666666667,1.0,0
1.0,4,0.13333333333333333,1.0,0
1.0,6,0.2,1.0,0
1.0,8,0.0,1.0,0
1.0,10,0.2,1.0,0
