tau,delta,effect_size,reject
0.0,5.0,1.6132325145409054,1
0.0,5.0,1.5158181185354724,1
0.0,5.0,1.7310162681796457,1
0.0,5.0,1.5925884216413635,1
0.0,5.0,1.516815376783334,1
0.0,5.0,1.8087191127638598,1
0.0,5.0,1.747521061515786,1
0.0,5.0,1.6648298220498037,1
0.0,5.0,1.8104821743479391,1
0.0,5.0,1.5200390832003854,1
0.0,5.0,1.479149080233969,1
0.0,5.0,1.595989427783283,1
0.0,5.0,1.625730553971858,1
0.0,5.0,1.6581303149319397,1
0.0,5.0,1.608404886987788,1
0.0,5.0,1.7841610089311453,1
0.0,5.0,1.6998745429975364,1
0.0,5.0,1.7123571993692155,1
0.0,5.0,1.493091504684114,1
0.0,5.0,1.4716159362017858,1
0.0,5.0,1.5893351027605047,1
0.0,5.0,1.6957724829340919,1
0.0,5.0,1.6714975132020238,1
0.0,5.0,1.6064388514836125,1
0.0,5.0,1.691169693228771,1
0.0,5.0,1.7622466584027066,1
0.0,5.0,1.8494477124417583,1
0.0,5.0,1.6193035789763215,1
0.0,5.0,1.720987642350154,1
0.0,5.0,1.62322467038117,1
0.0,6.875,1.6893110445646966,1
0.0,6.875,1.6996865840597304,1
0.0,6.875,1.7445740105007679,1
0.0,6.875,1.7067528121754052,1
0.0,6.875,1.7962619327428742,1
0.0,6.875,1.6369289869151007,1
0.0,6.875,1.7242728572655133,1
0.0,6.875,1.6705444495955137,1
0.0,6.875,1.7658821654790149,1
0.0,6.875,1.7535402743158512,1
0.0,6.875,1.9640423268425313,1
0.0,6.875,1.7095808059449125,1
0.0,6.875,1.9546109621094152,1
0.0,6.875,1.9152663306375595,1
0.0,6.875,1.8323906109227466,1
0.0,6.875,1.8078935061622692,1
0.0,6.875,1.8330414701763054,1
0.0,6.875,1.670728067270576,1
0.0,6.875,1.7822280345440513,1
0.0,6.875,1.7817370110287043,1
0.0,6.875,1.736576356868611,1
0.0,6.875,1.956134083449799,1
0.0,6.875,1.7112615284359847,1
0.0,6.875,1.720240111467864,1
0.0,6.875,2.001364898874032,1
