,Tau,Method,ARI
0,0.0,Naive,1.0
1,0.025,Randomized,1.0
2,0.05,Randomized,1.0
3,0.1,Randomized,1.0
4,0.25,Randomized,0.13071895424836602
5,0.5,Randomized,0.02145922746781116
6,1.0,Randomized,0.02145922746781116
7,5.0,Randomized,-0.03980099502487562
8,0.0,Naive,1.0
9,0.025,Randomized,1.0
10,0.05,Randomized,1.0
11,0.1,Randomized,1.0
12,0.25,Randomized,1.0
13,0.5,Randomized,0.02145922746781116
14,1.0,Randomized,0.1211453744493392
15,5.0,Randomized,0.02145922746781116
16,0.0,Naive,1.0
17,0.025,Randomized,1.0
18,0.05,Randomized,1.0
19,0.1,Randomized,1.0
20,0.25,Randomized,0.7995558023320377
21,0.5,Randomized,0.02145922746781116
22,1.0,Randomized,-0.04441976679622432
23,5.0,Randomized,-0.046255506607929514
24,0.0,Naive,1.0
25,0.025,Randomized,1.0
26,0.05,Randomized,1.0
27,0.1,Randomized,1.0
28,0.25,Randomized,0.0
29,0.5,Randomized,0.0
30,1.0,Randomized,-0.017306652244456464
31,5.0,Randomized,0.0526027397260274
32,0.0,Naive,1.0
33,0.025,Randomized,1.0
34,0.05,Randomized,1.0
35,0.1,Randomized,1.0
36,0.25,Randomized,0.0
37,0.5,Randomized,0.02145922746781116
38,1.0,Randomized,0.0
39,5.0,Randomized,0.0
40,0.0,Naive,1.0
41,0.025,Randomized,1.0
42,0.05,Randomized,1.0
43,0.1,Randomized,1.0
44,0.25,Randomized,1.0
45,0.5,Randomized,0.13071895424836602
46,1.0,Randomized,0.06489994591671173
47,5.0,Randomized,-0.011086474501108648
48,0.0,Naive,1.0
49,0.025,Randomized,1.0
50,0.05,Randomized,1.0
51,0.1,Randomized,1.0
52,0.25,Randomized,0.0
53,0.5,Randomized,0.0
54,1.0,Randomized,0.0
55,5.0,Randomized,0.0
56,0.0,Naive,1.0
57,0.025,Randomized,1.0
58,0.05,Randomized,1.0
59,0.1,Randomized,1.0
60,0.25,Randomized,1.0
61,0.5,Randomized,0.02145922746781116
62,1.0,Randomized,0.06489994591671173
63,5.0,Randomized,0.13071895424836602
64,0.0,Naive,1.0
65,0.025,Randomized,1.0
66,0.05,Randomized,1.0
67,0.1,Randomized,1.0
68,0.25,Randomized,1.0
69,0.5,Randomized,1.0
70,1.0,Randomized,0.6208425720620843
71,5.0,Randomized,-0.013333333333333334
72,0.0,Naive,1.0
73,0.025,Randomized,1.0
74,0.05,Randomized,1.0
75,0.1,Randomized,1.0
76,0.25,Randomized,1.0
77,0.5,Randomized,0.0
78,1.0,Randomized,0.0
79,5.0,Randomized,-0.019313304721030045
80,0.0,Naive,1.0
81,0.025,Randomized,1.0
82,0.05,Randomized,1.0
83,0.1,Randomized,0.0
84,0.25,Randomized,0.0
85,0.5,Randomized,0.0
86,1.0,Randomized,0.0
87,5.0,Randomized,0.0
88,0.0,Naive,1.0
89,0.025,Randomized,1.0
90,0.05,Randomized,1.0
91,0.1,Randomized,1.0
92,0.25,Randomized,0.0
93,0.5,Randomized,0.0
94,1.0,Randomized,0.02145922746781116
95,5.0,Randomized,0.02145922746781116
96,0.0,Naive,1.0
97,0.025,Randomized,0.7995558023320377
98,0.05,Randomized,0.7995558023320377
99,0.1,Randomized,0.7995558023320377
100,0.25,Randomized,0.0
101,0.5,Randomized,0.0
102,1.0,Randomized,0.0
103,5.0,Randomized,0.0
104,0.0,Naive,1.0
105,0.025,Randomized,1.0
106,0.05,Randomized,1.0
107,0.1,Randomized,1.0
108,0.25,Randomized,1.0
109,0.5,Randomized,0.02145922746781116
110,1.0,Randomized,0.02145922746781116
111,5.0,Randomized,0.06489994591671173
112,0.0,Naive,1.0
113,0.025,Randomized,1.0
114,0.05,Randomized,1.0
115,0.1,Randomized,1.0
116,0.25,Randomized,1.0
117,0.5,Randomized,0.2191780821917808
118,1.0,Randomized,0.21227197346600332
119,5.0,Randomized,-0.03980099502487562
120,0.0,Naive,1.0
121,0.025,Randomized,1.0
122,0.05,Randomized,1.0
123,0.1,Randomized,1.0
124,0.25,Randomized,0.0
125,0.5,Randomized,0.0
126,1.0,Randomized,0.0
127,5.0,Randomized,0.0
128,0.0,Naive,1.0
129,0.025,Randomized,1.0
130,0.05,Randomized,1.0
131,0.1,Randomized,1.0
132,0.25,Randomized,1.0
133,0.5,Randomized,1.0
134,1.0,Randomized,0.0
135,5.0,Randomized,-0.019313304721030045
136,0.0,Naive,1.0
137,0.025,Randomized,1.0
138,0.05,Randomized,1.0
139,0.1,Randomized,0.6208425720620843
140,0.25,Randomized,0.7995558023320377
141,0.5,Randomized,0.21227197346600332
142,1.0,Randomized,0.04422332780541736
143,5.0,Randomized,-0.03980099502487562
144,0.0,Naive,1.0
145,0.025,Randomized,1.0
146,0.05,Randomized,1.0
147,0.1,Randomized,1.0
148,0.25,Randomized,1.0
149,0.5,Randomized,0.0
150,1.0,Randomized,0.0
151,5.0,Randomized,0.0
152,0.0,Naive,1.0
153,0.025,Randomized,1.0
154,0.05,Randomized,1.0
155,0.1,Randomized,1.0
156,0.25,Randomized,1.0
157,0.5,Randomized,0.02145922746781116
158,1.0,Randomized,0.02145922746781116
159,5.0,Randomized,-0.017306652244456464
160,0.0,Naive,0.7995558023320377
161,0.025,Randomized,0.7995558023320377
162,0.05,Randomized,0.7995558023320377
163,0.1,Randomized,0.7995558023320377
164,0.25,Randomized,0.7995558023320377
165,0.5,Randomized,0.02145922746781116
166,1.0,Randomized,0.02145922746781116
167,5.0,Randomized,0.06489994591671173
168,0.0,Naive,1.0
169,0.025,Randomized,1.0
170,0.05,Randomized,1.0
171,0.1,Randomized,1.0
172,0.25,Randomized,1.0
173,0.5,Randomized,0.7995558023320377
174,1.0,Randomized,-0.011086474501108648
175,5.0,Randomized,0.06489994591671173
176,0.0,Naive,1.0
177,0.025,Randomized,1.0
178,0.05,Randomized,1.0
179,0.1,Randomized,1.0
180,0.25,Randomized,1.0
181,0.5,Randomized,0.02145922746781116
182,1.0,Randomized,0.2191780821917808
183,5.0,Randomized,0.06489994591671173
184,0.0,Naive,1.0
185,0.025,Randomized,1.0
186,0.05,Randomized,1.0
187,0.1,Randomized,1.0
188,0.25,Randomized,0.3303964757709251
189,0.5,Randomized,0.0
190,1.0,Randomized,0.0
191,5.0,Randomized,-0.017306652244456464
192,0.0,Naive,1.0
193,0.025,Randomized,1.0
194,0.05,Randomized,1.0
195,0.1,Randomized,1.0
196,0.25,Randomized,1.0
197,0.5,Randomized,0.0
198,1.0,Randomized,0.0
199,5.0,Randomized,-0.017306652244456464
200,0.0,Naive,1.0
201,0.025,Randomized,1.0
202,0.05,Randomized,1.0
203,0.1,Randomized,1.0
204,0.25,Randomized,0.0
205,0.5,Randomized,0.02145922746781116
206,1.0,Randomized,0.1211453744493392
207,5.0,Randomized,0.11529933481152993
208,0.0,Naive,1.0
209,0.025,Randomized,1.0
210,0.05,Randomized,1.0
211,0.1,Randomized,1.0
212,0.25,Randomized,1.0
213,0.5,Randomized,0.06489994591671173
214,1.0,Randomized,0.13071895424836602
215,5.0,Randomized,0.006535947712418301
216,0.0,Naive,1.0
217,0.025,Randomized,1.0
218,0.05,Randomized,1.0
219,0.1,Randomized,1.0
220,0.25,Randomized,1.0
221,0.5,Randomized,0.02145922746781116
222,1.0,Randomized,0.02145922746781116
223,5.0,Randomized,-0.030684931506849315
224,0.0,Naive,1.0
225,0.025,Randomized,1.0
226,0.05,Randomized,1.0
227,0.1,Randomized,1.0
228,0.25,Randomized,0.7995558023320377
229,0.5,Randomized,0.02145922746781116
