,Tau,Method,WCSS/TSS
0,0.0,Naive,0.23126713118749884
1,0.025,Randomized,0.23126713118749884
2,0.05,Randomized,0.23126713118749884
3,0.1,Randomized,0.23126713118749884
4,0.25,Randomized,0.8457321537037088
5,0.5,Randomized,0.9557229093753039
6,1.0,Randomized,0.9557229093753039
7,5.0,Randomized,0.9807735273570675
8,0.0,Naive,0.12166670929650836
9,0.025,Randomized,0.12166670929650836
10,0.05,Randomized,0.12166670929650836
11,0.1,Randomized,0.12166670929650836
12,0.25,Randomized,0.12166670929650836
13,0.5,Randomized,0.884190616601626
14,1.0,Randomized,0.8185242237137306
15,5.0,Randomized,0.9205414097831464
16,0.0,Naive,0.1872177856799693
17,0.025,Randomized,0.1872177856799693
18,0.05,Randomized,0.1872177856799693
19,0.1,Randomized,0.1872177856799693
20,0.25,Randomized,0.2690809661651318
21,0.5,Randomized,0.896176876465471
22,1.0,Randomized,0.989839554490057
23,5.0,Randomized,0.9870254041574763
24,0.0,Naive,0.18851061985259537
25,0.025,Randomized,0.18851061985259537
26,0.05,Randomized,0.18851061985259537
27,0.1,Randomized,0.18851061985259537
28,0.25,Randomized,0.850154330696417
29,0.5,Randomized,0.9465829732373526
30,1.0,Randomized,0.95403942730031
31,5.0,Randomized,0.9329323959494528
32,0.0,Naive,0.18184373268785686
33,0.025,Randomized,0.18184373268785686
34,0.05,Randomized,0.18184373268785686
35,0.1,Randomized,0.18184373268785686
36,0.25,Randomized,0.960953671880232
37,0.5,Randomized,0.9046880374916569
38,1.0,Randomized,0.9514750303267371
39,5.0,Randomized,0.9514750303267371
40,0.0,Naive,0.11799687839103222
41,0.025,Randomized,0.11799687839103222
42,0.05,Randomized,0.11799687839103222
43,0.1,Randomized,0.11799687839103222
44,0.25,Randomized,0.11799687839103222
45,0.5,Randomized,0.8642381634186795
46,1.0,Randomized,0.7978132912823126
47,5.0,Randomized,0.9661048900527632
48,0.0,Naive,0.1914163372637004
49,0.025,Randomized,0.1914163372637004
50,0.05,Randomized,0.1914163372637004
51,0.1,Randomized,0.1914163372637004
52,0.25,Randomized,0.9768457212945237
53,0.5,Randomized,0.9444409765209887
54,1.0,Randomized,0.8947506363284001
55,5.0,Randomized,0.9629690923268477
56,0.0,Naive,0.10124893884177198
57,0.025,Randomized,0.10124893884177198
58,0.05,Randomized,0.10124893884177198
59,0.1,Randomized,0.10124893884177198
60,0.25,Randomized,0.10124893884177198
61,0.5,Randomized,0.9354230415266042
62,1.0,Randomized,0.8591026896817097
63,5.0,Randomized,0.7459893409813875
64,0.0,Naive,0.1482455066409152
65,0.025,Randomized,0.1482455066409152
66,0.05,Randomized,0.1482455066409152
67,0.1,Randomized,0.1482455066409152
68,0.25,Randomized,0.1482455066409152
69,0.5,Randomized,0.1482455066409152
70,1.0,Randomized,0.427304120670216
71,5.0,Randomized,0.9763625036324094
72,0.0,Naive,0.15626011246159793
73,0.025,Randomized,0.15626011246159793
74,0.05,Randomized,0.15626011246159793
75,0.1,Randomized,0.15626011246159793
76,0.25,Randomized,0.15626011246159793
77,0.5,Randomized,0.9503977244092432
78,1.0,Randomized,0.9088387682648966
79,5.0,Randomized,0.9868789676457527
80,0.0,Naive,0.22224198012161353
81,0.025,Randomized,0.22224198012161353
82,0.05,Randomized,0.22224198012161353
83,0.1,Randomized,0.8740520628647415
84,0.25,Randomized,0.9146706682639483
85,0.5,Randomized,0.9764836967815281
86,1.0,Randomized,0.9764836967815281
87,5.0,Randomized,0.9763612117509839
88,0.0,Naive,0.18340433926109048
89,0.025,Randomized,0.18340433926109048
90,0.05,Randomized,0.18340433926109048
91,0.1,Randomized,0.18340433926109048
