tau,delta,effect_size,reject,min_size>=10,method,recovery_prob
0.1,1.0,0.5113636363636364,0,0,Randomized,1.0
0.1,1.0,0.5022222222222222,0,1,Randomized,1.0
0.1,1.0,0.5172413793103449,0,0,Randomized,1.0
0.1,1.0,0.5279503105590062,0,0,Randomized,1.0
0.1,1.0,0.5,0,0,Randomized,1.0
0.1,1.0,0.5172413793103449,0,0,Randomized,1.0
0.1,1.0,0.5598086124401914,0,1,Randomized,1.0
0.1,1.0,0.6428571428571429,0,1,Randomized,1.0
0.1,1.0,0.5357142857142857,0,1,Randomized,1.0
0.1,1.0,0.59,0,1,Randomized,1.0
0.1,1.0,0.5061728395061729,0,0,Randomized,1.0
0.1,1.0,0.5172413793103449,0,0,Randomized,1.0
0.1,1.0,0.5192307692307693,1,0,Randomized,1.0
0.1,1.0,0.5026455026455027,0,0,Randomized,1.0
0.1,1.0,0.5203619909502263,0,1,Randomized,1.0
0.1,1.0,0.5,0,0,Randomized,1.0
0.1,1.0,0.5357142857142857,0,0,Randomized,1.0
0.1,1.0,0.5555555555555556,0,0,Randomized,1.0
0.1,1.0,0.5279503105590062,0,0,Randomized,1.0
0.1,1.0,0.504,0,0,Randomized,1.0
0.1,1.0,0.5555555555555556,0,0,Randomized,1.0
0.1,1.0,0.5,0,0,Randomized,1.0
0.1,1.0,0.5555555555555556,0,0,Randomized,1.0
0.1,1.0,0.5357142857142857,0,0,Randomized,1.0
0.1,1.0,0.5172413793103449,0,0,Randomized,1.0
0.1,1.0,0.5172413793103449,0,0,Randomized,1.0
0.1,1.0,0.5555555555555556,1,0,Randomized,1.0
0.1,1.0,0.5172413793103449,0,0,Randomized,1.0
0.1,1.0,0.6172248803827751,0,1,Randomized,1.0
0.1,1.0,0.5769230769230769,0,0,Randomized,1.0
0.1,1.0,0.5769230769230769,0,0,Randomized,1.0
0.1,1.0,0.5138888888888888,0,0,Randomized,1.0
0.1,1.0,0.5803571428571429,0,1,Randomized,1.0
0.1,1.0,0.5172413793103449,0,0,Randomized,1.0
0.1,1.0,0.5357142857142857,0,0,Randomized,1.0
0.1,1.0,0.5172413793103449,0,0,Randomized,1.0
0.1,1.0,0.504,0,0,Randomized,1.0
0.1,1.0,0.51,0,1,Randomized,1.0
0.1,1.0,0.5172413793103449,1,0,Randomized,1.0
