tau,delta,effect_size,reject,min_size>=10,method,linkage
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,1,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,1,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,1,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,1,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,1,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,1,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,1,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,0,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
NA,1.0,1.0,0,1,Barber,complete
