,delta,Tau,Method,ARI
0,2,0.0,Naive,0.0
1,2,0.1,Randomized,0.0
2,2,0.0,Naive,0.0
3,2,0.1,Randomized,0.13071895424836602
4,2,0.0,Naive,0.0
5,2,0.1,Randomized,0.13071895424836602
6,2,0.0,Naive,0.02145922746781116
7,2,0.1,Randomized,0.0
8,2,0.0,Naive,0.0
9,2,0.1,Randomized,0.0
10,2,0.0,Naive,0.0
11,2,0.1,Randomized,0.0
12,2,0.0,Naive,0.0
13,2,0.1,Randomized,0.0
14,2,0.0,Naive,0.0
15,2,0.1,Randomized,0.0
16,2,0.0,Naive,0.0
17,2,0.1,Randomized,0.0
18,2,0.0,Naive,0.0
19,2,0.1,Randomized,0.0
20,2,0.0,Naive,0.0
21,2,0.1,Randomized,0.06489994591671173
22,2,0.0,Naive,0.0
23,2,0.1,Randomized,0.6208425720620843
24,2,0.0,Naive,0.0
25,2,0.1,Randomized,0.0
26,2,0.0,Naive,0.0
27,2,0.1,Randomized,0.0
28,2,0.0,Naive,0.0
29,2,0.1,Randomized,0.02145922746781116
30,2,0.0,Naive,0.06489994591671173
31,2,0.1,Randomized,0.06489994591671173
32,2,0.0,Naive,0.0
33,2,0.1,Randomized,0.0
34,2,0.0,Naive,-0.004405286343612335
35,2,0.1,Randomized,-0.004405286343612335
36,2,0.0,Naive,0.0
37,2,0.1,Randomized,0.0
38,2,0.0,Naive,0.02145922746781116
39,2,0.1,Randomized,0.3259423503325942
40,2,0.0,Naive,0.0
41,2,0.1,Randomized,0.3303964757709251
42,2,0.0,Naive,0.0
43,2,0.1,Randomized,0.0
44,2,0.0,Naive,0.0
45,2,0.1,Randomized,-0.019313304721030045
46,2,0.0,Naive,0.0
47,2,0.1,Randomized,0.02145922746781116
48,2,0.0,Naive,0.0
49,2,0.1,Randomized,0.0
50,2,0.0,Naive,0.0
51,2,0.1,Randomized,0.0
52,2,0.0,Naive,0.02145922746781116
53,2,0.1,Randomized,-0.034858387799564274
54,2,0.0,Naive,0.0
55,2,0.1,Randomized,0.0
56,2,0.0,Naive,0.0
57,2,0.1,Randomized,0.0
58,2,0.0,Naive,0.2191780821917808
59,2,0.1,Randomized,0.0
60,2,0.0,Naive,0.06489994591671173
61,2,0.1,Randomized,0.06489994591671173
62,2,0.0,Naive,0.0
63,2,0.1,Randomized,0.0
64,2,0.0,Naive,0.06489994591671173
65,2,0.1,Randomized,0.06489994591671173
66,2,0.0,Naive,0.0
67,2,0.1,Randomized,0.0
68,2,0.0,Naive,0.13071895424836602
69,2,0.1,Randomized,0.13071895424836602
70,2,0.0,Naive,0.0
71,2,0.1,Randomized,0.0
72,2,0.0,Naive,0.21227197346600332
73,2,0.1,Randomized,0.02145922746781116
74,2,0.0,Naive,0.0
75,2,0.1,Randomized,0.03997779011660189
