tau=0.1,naive
,0.0262667832437814
0.14848797954402174,
0.7161502769206051,0.0016756351269954228
0.34275391790430304,
0.7103980100464382,
0.7970845569134661,0.01397756308691922
0.3916443081780729,0.014382086436615982
0.21187066843131344,
0.21662310396849754,
0.06588567218228371,6.552252440983342e-05
0.37727568641242587,
0.10535781504547405,0.0038794512990704133
0.6569575717328356,0.02057815976816757
,0.2341365329737446
,7.318948757262245e-05
,
0.5097886343617699,
0.8941456833091401,
0.1746254768581107,0.02357253619546651
0.7357061992508247,0.014509378985449684
0.8062669210542868,0.042212345708741994
0.9514319408205387,0.040684074386157065
0.7866200331933683,0.0006475840864134108
0.23188831176211017,0.12215576723310162
,
0.706469837303314,
,
0.14060264333334646,
0.4497292651232231,
0.9063383259751147,4.2234708863553294e-07
,
0.28795717289218165,0.002746362323948204
0.8015841173951913,0.0014634436983372856
,0.06404807730096329
0.8729080793097623,0.003850802442414092
,
0.3651477328630068,0.005294663167958347
0.5632589976740796,0.046719669377006556
0.17093301044196446,0.0018703186160875518
0.6578331594841937,0.009473882842560677
0.6722802511616068,
0.8771329299091863,0.006771832418595358
0.12252048095736215,
0.0833173756528962,5.797505824844951e-05
0.4844476730087597,
0.4838630795998007,0.002031096125354126
0.3691183214241987,
,0.018247886285126858
0.5137923970199051,0.006559634301303685
0.7138581656178882,
0.4784178510682924,
0.6862461002359791,
,0.028557039668648088
0.7492277578696914,0.01897671346459684
0.7821251731953444,0.0013636623685798765
,0.029382070926601722
0.6886971801500689,0.06690451723450119
0.9332067783075787,0.16416728808226477
0.2072139724078301,0.003517629568334457
0.7742631271170334,8.814649898880589e-09
,0.05781549996493007
0.07564154917387027,0.01375420221676027
0.8480466355093619,
0.06478060238956138,
0.12076411488234003,
0.6470976467746754,0.015391400231090202
0.01454243640410471,
0.889832767006803,0.03367949547424354
0.2967596989452891,0.00010015023170795168
0.972006392376144,0.012577253133998267
0.48884741676072296,0.04662808267873164
,0.01002393352737474
0.14767661350117087,
0.17439619912936738,
0.5106777495557504,
0.4709515196733797,
0.06640379165981265,0.00015949629626210715
0.04832259056875348,0.001139579388559464
0.8212130815142061,7.103776029304676e-06
0.2741960192684745,1.5535043251801994e-08
0.8925442946023345,0.029340982559264983
0.49191500210266587,
0.24003497444209634,0.05495036906780404
0.8205545250566342,
0.277974018916874,
,0.06796889887723145
0.07787789882030156,0.010296990500035741
0.2764055829403356,0.036396111943147624
,0.003416753275253037
0.9891303476945335,0.0010786670906133278
0.4624257236021064,0.05830422912029953
0.8187179203192864,0.0003368654650942604
,
0.9491805159453519,0.012223779646285182
0.24174738613718086,
0.5653285964202869,0.11699942169230826
0.22929907326534563,0.00016609077313345377
0.28098120303936475,
0.3700998260303305,0.0005164101443814184
,
,0.003278685120131186
0.6492981975809062,0.022055713352130524
,0.0004456759495563567
0.34322052968370015,0.027872492371016966
0.5442200811406965,0.033988939311269895
0.2447662079166623,
0.7299500603746818,0.0016712711031354743
0.11623492361788709,0.0049706160691384005
0.1903937066456738,0.030482293275809313
0.5097300702416909,
0.19651358145802916,
