tau,K_hat
naive,1
naive,21
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,20
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,24
naive,1
naive,20
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,22
naive,1
naive,1
naive,1
naive,1
naive,1
naive,22
naive,1
naive,1
naive,1
naive,25
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,29
naive,1
naive,21
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,27
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,26
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
naive,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,23
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,21
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,25
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,24
0.01,22
0.01,26
0.01,1
0.01,22
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,22
0.01,1
0.01,1
0.01,21
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.01,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,28
0.05,25
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,28
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,20
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,25
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,22
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
